Virtual Sensei Lite, (C) Alessandro Timmi, www.virtualsensei.it,
Tracking module version,1.1,
Athlete's name,Alessandro Timmi,
Technique name,kick,
Athlete's weight [kg],75.0,
Athlete's height [cm],186.0,
Athlete's gender,m,
Start mocap data,
Head(X),Head(Y),Head(Z),Head(R11),Head(R12),Head(R13),Head(R21),Head(R22),Head(R23),Head(R31),Head(R32),Head(R33),Neck(X),Neck(Y),Neck(Z),Neck(R11),Neck(R12),Neck(R13),Neck(R21),Neck(R22),Neck(R23),Neck(R31),Neck(R32),Neck(R33),Torso(X),Torso(Y),Torso(Z),Torso(R11),Torso(R12),Torso(R13),Torso(R21),Torso(R22),Torso(R23),Torso(R31),Torso(R32),Torso(R33),L_Shoulder(X),L_Shoulder(Y),L_Shoulder(Z),L_Shoulder(R11),L_Shoulder(R12),L_Shoulder(R13),L_Shoulder(R21),L_Shoulder(R22),L_Shoulder(R23),L_Shoulder(R31),L_Shoulder(R32),L_Shoulder(R33),L_Elbow(X),L_Elbow(Y),L_Elbow(Z),L_Elbow(R11),L_Elbow(R12),L_Elbow(R13),L_Elbow(R21),L_Elbow(R22),L_Elbow(R23),L_Elbow(R31),L_Elbow(R32),L_Elbow(R33),L_Hand(X),L_Hand(Y),L_Hand(Z),L_Hand(R11),L_Hand(R12),L_Hand(R13),L_Hand(R21),L_Hand(R22),L_Hand(R23),L_Hand(R31),L_Hand(R32),L_Hand(R33),R_Shoulder(X),R_Shoulder(Y),R_Shoulder(Z),R_Shoulder(R11),R_Shoulder(R12),R_Shoulder(R13),R_Shoulder(R21),R_Shoulder(R22),R_Shoulder(R23),R_Shoulder(R31),R_Shoulder(R32),R_Shoulder(R33),R_Elbow(X),R_Elbow(Y),R_Elbow(Z),R_Elbow(R11),R_Elbow(R12),R_Elbow(R13),R_Elbow(R21),R_Elbow(R22),R_Elbow(R23),R_Elbow(R31),R_Elbow(R32),R_Elbow(R33),R_Hand(X),R_Hand(Y),R_Hand(Z),R_Hand(R11),R_Hand(R12),R_Hand(R13),R_Hand(R21),R_Hand(R22),R_Hand(R23),R_Hand(R31),R_Hand(R32),R_Hand(R33),L_Hip(X),L_Hip(Y),L_Hip(Z),L_Hip(R11),L_Hip(R12),L_Hip(R13),L_Hip(R21),L_Hip(R22),L_Hip(R23),L_Hip(R31),L_Hip(R32),L_Hip(R33),L_Knee(X),L_Knee(Y),L_Knee(Z),L_Knee(R11),L_Knee(R12),L_Knee(R13),L_Knee(R21),L_Knee(R22),L_Knee(R23),L_Knee(R31),L_Knee(R32),L_Knee(R33),L_Foot(X),L_Foot(Y),L_Foot(Z),L_Foot(R11),L_Foot(R12),L_Foot(R13),L_Foot(R21),L_Foot(R22),L_Foot(R23),L_Foot(R31),L_Foot(R32),L_Foot(R33),R_Hip(X),R_Hip(Y),R_Hip(Z),R_Hip(R11),R_Hip(R12),R_Hip(R13),R_Hip(R21),R_Hip(R22),R_Hip(R23),R_Hip(R31),R_Hip(R32),R_Hip(R33),R_Knee(X),R_Knee(Y),R_Knee(Z),R_Knee(R11),R_Knee(R12),R_Knee(R13),R_Knee(R21),R_Knee(R22),R_Knee(R23),R_Knee(R31),R_Knee(R32),R_Knee(R33),R_Foot(X),R_Foot(Y),R_Foot(Z),R_Foot(R11),R_Foot(R12),R_Foot(R13),R_Foot(R21),R_Foot(R22),R_Foot(R23),R_Foot(R31),R_Foot(R32),R_Foot(R33),Floor_Pt(X),Floor_Pt(Y),Floor_Pt(Z),Floor_Normal(X),Floor_Normal(Y),Floor_Normal(Z)
-0.145624,0.769057,2.40762,0.984197,0.168975,-0.0529041,-0.16608,0.984574,0.0550506,0.0613904,-0.0453944,0.997081,-0.184982,0.539727,2.41819,0.984197,0.168975,-0.0529041,-0.16608,0.984574,0.0550506,0.0613904,-0.0453944,0.997081,-0.228554,0.302751,2.41863,0.981656,0.180833,-0.0603849,-0.180377,0.983512,0.0129616,0.0617334,-0.00183181,0.998091,-0.35205,0.570425,2.40769,0.89319,-0.432314,0.123755,0.393237,0.61743,-0.681282,0.218118,0.657179,0.721484,-0.591192,0.46514,2.34929,0.431212,-0.432314,-0.791935,-0.498512,0.61743,-0.608495,0.752025,0.657179,0.0507296,-0.725312,0.620192,2.11539,0,0,0,0,0,0,0,0,0,-0.0179148,0.509029,2.4287,0.513953,0.596301,0.616666,-0.641779,0.744285,-0.184822,-0.569185,-0.300773,0.765221,0.11589,0.341945,2.28052,-0.678882,0.596301,0.428421,0.267591,0.744285,-0.61191,-0.68375,-0.300773,-0.664847,-0.095563,0.425293,2.06755,0,0,0,0,0,0,0,0,0,-0.381271,0.08583,2.41221,0.972316,0.209965,-0.102551,-0.231363,0.926571,-0.296542,0.0327571,0.312059,0.949498,-0.482444,-0.360647,2.26184,0.961951,0.273213,0.00214802,-0.270472,0.951127,0.149008,0.0386679,-0.143919,0.988834,-0.609048,-0.801385,2.32853,0,0,0,0,0,0,0,0,0,-0.16298,0.0457195,2.42594,0.717962,0.0249395,-0.695635,-0.09987,0.992709,-0.0674853,0.688881,0.117925,0.715218,-0.174997,-0.432639,2.36912,0.735379,0.0818614,-0.672694,0.0312337,0.987527,0.154318,0.676936,-0.134493,0.72365,-0.207973,-0.830438,2.42329,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.147132,0.768544,2.40865,0.984806,0.167754,-0.0448519,-0.165579,0.985004,0.0484808,0.0523123,-0.0403177,0.997816,-0.186224,0.539006,2.41805,0.984806,0.167754,-0.0448519,-0.165579,0.985004,0.0484808,0.0523123,-0.0403177,0.997816,-0.229527,0.301969,2.41783,0.982347,0.179711,-0.0518932,-0.179508,0.983719,0.00858513,0.0525913,0.000881707,0.998615,-0.353417,0.569558,2.4091,0.887067,-0.446343,0.117853,0.396584,0.606137,-0.689434,0.236289,0.658313,0.714697,-0.5916,0.463072,2.34565,0.431027,-0.446343,-0.784215,-0.499073,0.606137,-0.619293,0.751759,0.658313,0.0385035,-0.725183,0.617745,2.11267,0,0,0,0,0,0,0,0,0,-0.0190316,0.508454,2.427,0.501381,0.599498,0.623874,-0.644151,0.740034,-0.193442,-0.577656,-0.304881,0.757206,0.110941,0.341472,2.27725,-0.692913,0.599498,0.400592,0.289223,0.740033,-0.607207,-0.660471,-0.304881,-0.686167,-0.105383,0.431766,2.07106,0,0,0,0,0,0,0,0,0,-0.382067,0.084893,2.41177,0.973831,0.206669,-0.0945572,-0.225893,0.925941,-0.302663,0.0250035,0.316102,0.948396,-0.48166,-0.361315,2.25945,0.962445,0.271334,0.00874623,-0.269627,0.951644,0.147226,0.0316242,-0.144055,0.989064,-0.607396,-0.802304,2.3262,0,0,0,0,0,0,0,0,0,-0.163594,0.0449705,2.42347,0.723986,0.0236757,-0.689408,-0.0991143,0.992611,-0.0699971,0.682657,0.119007,0.720983,-0.175004,-0.433377,2.36612,0.740625,0.0781857,-0.667354,0.0302075,0.988328,0.149314,0.671239,-0.130745,0.729619,-0.206189,-0.827585,2.41827,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.14551,0.767105,2.40917,0.983802,0.171554,-0.0519469,-0.169348,0.98456,0.044293,0.0587437,-0.0347785,0.997667,-0.185363,0.538382,2.41725,0.983802,0.171554,-0.0519469,-0.169348,0.98456,0.044293,0.0587437,-0.0347785,0.997667,-0.229314,0.301459,2.41669,0.981488,0.182392,-0.0583888,-0.18221,0.983223,0.00847855,0.0589559,0.00231747,0.998258,-0.352417,0.569395,2.40721,0.889889,-0.441198,0.115942,0.393139,0.612815,-0.685492,0.231386,0.655593,0.718789,-0.594294,0.462537,2.34432,0.422842,-0.441198,-0.791549,-0.502405,0.612815,-0.609956,0.754184,0.655593,0.0374636,-0.724762,0.617555,2.11162,0,0,0,0,0,0,0,0,0,-0.0183104,0.507369,2.42728,0.481457,0.61693,0.622572,-0.652578,0.726502,-0.215257,-0.585099,-0.30264,0.752375,0.106474,0.338233,2.27563,-0.688115,0.61693,0.381962,0.311298,0.726502,-0.612607,-0.655433,-0.30264,-0.691966,-0.106802,0.434718,2.07249,0,0,0,0,0,0,0,0,0,-0.38241,0.0847984,2.40957,0.973424,0.205582,-0.100909,-0.226778,0.926705,-0.299648,0.031911,0.314568,0.948698,-0.481484,-0.3618,2.25798,0.962104,0.272671,0.00241641,-0.269953,0.951186,0.149565,0.0384837,-0.14455,0.988749,-0.607841,-0.802584,2.32496,0,0,0,0,0,0,0,0,0,-0.164118,0.0442732,2.42269,0.719386,0.0221101,-0.694258,-0.0950958,0.993217,-0.0669067,0.68807,0.114153,0.716609,-0.174774,-0.43438,2.36767,0.735714,0.0791212,-0.672655,0.0319886,0.987986,0.151199,0.676537,-0.132757,0.724343,-0.206305,-0.828118,2.42058,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.144487,0.768663,2.40739,0.984345,0.168425,-0.0518955,-0.166053,0.984992,0.0470889,0.0590478,-0.0377344,0.997541,-0.183635,0.539719,2.41616,0.984345,0.168425,-0.0518955,-0.166053,0.984992,0.0470889,0.0590478,-0.0377344,0.997541,-0.22778,0.302828,2.41629,0.981345,0.183199,-0.0582764,-0.182846,0.983075,0.011374,0.0593741,-0.000506174,0.998235,-0.35067,0.570841,2.40606,0.889785,-0.443385,0.108136,0.39152,0.619839,-0.680082,0.234511,0.647464,0.725117,-0.595137,0.463272,2.34163,0.413794,-0.443385,-0.7951,-0.499218,0.619839,-0.605459,0.761286,0.647464,0.03514,-0.722519,0.61695,2.10727,0,0,0,0,0,0,0,0,0,-0.0165987,0.508596,2.42627,0.454937,0.627449,0.631934,-0.659035,0.714472,-0.234954,-0.598921,-0.309577,0.73855,0.100744,0.33861,2.27179,-0.685957,0.627449,0.368472,0.319046,0.714472,-0.622687,-0.653967,-0.309577,-0.690282,-0.111449,0.437303,2.06949,0,0,0,0,0,0,0,0,0,-0.381059,0.086272,2.40981,0.974037,0.202454,-0.101317,-0.223872,0.927928,-0.298044,0.0336744,0.312988,0.94916,-0.478628,-0.360925,2.25897,0.961252,0.275662,0.00224645,-0.272518,0.948998,0.158547,0.0415735,-0.153016,0.987349,-0.606366,-0.800679,2.32987,0,0,0,0,0,0,0,0,0,-0.162791,0.0456037,2.42301,0.719391,0.0229617,-0.694226,-0.0932217,0.993603,-0.0637372,0.688321,0.110569,0.71693,-0.173857,-0.433245,2.36973,0.735219,0.0772123,-0.673417,0.0326095,0.988311,0.148919,0.677044,-0.131448,0.724108,-0.204571,-0.82638,2.42201,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.144361,0.76909,2.40654,0.984975,0.1685,-0.0377842,-0.166677,0.984886,0.0470988,0.0451495,-0.0400934,0.998175,-0.183512,0.540254,2.41586,0.984975,0.1685,-0.0377842,-0.166677,0.984886,0.0470988,0.0451495,-0.0400934,0.998175,-0.228049,0.303435,2.41605,0.981757,0.184826,-0.0445905,-0.184599,0.982771,0.00919481,0.0455219,-0.000795701,0.998963,-0.350605,0.571673,2.40811,0.886734,-0.451637,0.098624,0.392091,0.621772,-0.677985,0.244881,0.639863,0.728429,-0.596068,0.463136,2.34032,0.40459,-0.451637,-0.795193,-0.496466,0.621772,-0.60574,0.768003,0.639862,0.0273402,-0.720844,0.616247,2.10347,0,0,0,0,0,0,0,0,0,-0.0164184,0.508836,2.4236,0.455231,0.643922,0.614922,-0.672493,0.701294,-0.236516,-0.583539,-0.305862,0.752283,0.100373,0.336305,2.27389,-0.682486,0.643922,0.3458,0.345817,0.701294,-0.623376,-0.643913,-0.305862,-0.701303,-0.110928,0.443372,2.07453,0,0,0,0,0,0,0,0,0,-0.381772,0.0871461,2.41118,0.974285,0.206795,-0.0894635,-0.224408,0.926219,-0.302919,0.0202206,0.315206,0.948808,-0.481433,-0.359229,2.25927,0.962411,0.271161,0.0153823,-0.270177,0.950062,0.156163,0.0277311,-0.154449,0.987611,-0.607087,-0.799482,2.33084,0,0,0,0,0,0,0,0,0,-0.163402,0.0460863,2.4213,0.728635,0.0244448,-0.684466,-0.0940147,0.993473,-0.0646009,0.678419,0.11142,0.726177,-0.175183,-0.432706,2.3676,0.743958,0.0757535,-0.663918,0.0297782,0.988808,0.146192,0.667562,-0.128531,0.733376,-0.205572,-0.829374,2.41916,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.145469,0.768089,2.4056,0.985207,0.169305,-0.026414,-0.168021,0.984756,0.044998,0.0336299,-0.0398943,0.998637,-0.184829,0.539149,2.41488,0.985207,0.169305,-0.026414,-0.168021,0.984756,0.044998,0.0336299,-0.0398943,0.998637,-0.22873,0.302213,2.41563,0.982715,0.182184,-0.0328027,-0.181977,0.983259,0.009227,0.0339347,-0.00309815,0.999419,-0.352084,0.570121,2.4091,0.887166,-0.453231,0.0867098,0.384666,0.622575,-0.681493,0.25489,0.637951,0.72667,-0.595533,0.464564,2.33916,0.404896,-0.453231,-0.794129,-0.493802,0.622575,-0.607091,0.769558,0.637951,0.0282721,-0.720072,0.616449,2.10246,0,0,0,0,0,0,0,0,0,-0.0175746,0.508178,2.42066,0.466601,0.646874,0.60319,-0.675847,0.700686,-0.228626,-0.570539,-0.300987,0.764128,0.101189,0.336155,2.27544,-0.684476,0.646874,0.336225,0.359456,0.700686,-0.616303,-0.634259,-0.300987,-0.712125,-0.110352,0.447247,2.07942,0,0,0,0,0,0,0,0,0,-0.381915,0.0855127,2.4126,0.975614,0.205419,-0.0773288,-0.219282,0.927569,-0.302541,0.00958011,0.312121,0.949994,-0.480913,-0.361517,2.26218,0.962078,0.271913,0.0216754,-0.272208,0.95192,0.140536,0.0175804,-0.141107,0.989838,-0.606907,-0.802599,2.32756,0,0,0,0,0,0,0,0,0,-0.163348,0.0450392,2.42015,0.736874,0.0223775,-0.67566,-0.0909501,0.993647,-0.0662809,0.669885,0.110292,0.734228,-0.174133,-0.433841,2.36699,0.751842,0.0779337,-0.654722,0.029191,0.988082,0.151136,0.658697,-0.132742,0.740606,-0.205417,-0.830477,2.42028,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.144026,0.767933,2.4066,0.985029,0.170099,-0.0279229,-0.168845,0.984729,0.0424226,0.0347127,-0.0370729,0.998709,-0.183528,0.539253,2.41521,0.985029,0.170099,-0.0279229,-0.168845,0.984729,0.0424226,0.0347127,-0.0370729,0.998709,-0.227364,0.302304,2.41615,0.982735,0.181915,-0.0336898,-0.181672,0.983306,0.0101809,0.0349796,-0.00388458,0.99938,-0.350796,0.570175,2.40926,0.886846,-0.453802,0.0869901,0.383365,0.617542,-0.686784,0.257944,0.642421,0.721637,-0.59578,0.464274,2.338,0.416162,-0.453802,-0.787955,-0.490607,0.617542,-0.614773,0.765581,0.642421,0.0343591,-0.723959,0.615382,2.1022,0,0,0,0,0,0,0,0,0,-0.0162587,0.508331,2.42117,0.475894,0.640871,0.602337,-0.672413,0.706567,-0.220509,-0.566909,-0.30008,0.767181,0.104581,0.337591,2.27722,-0.689922,0.640871,0.336589,0.35875,0.706567,-0.609969,-0.628734,-0.30008,-0.717388,-0.109725,0.449027,2.08192,0,0,0,0,0,0,0,0,0,-0.380485,0.0855569,2.4132,0.975695,0.204752,-0.0780768,-0.218871,0.927971,-0.301605,0.0106989,0.311363,0.950231,-0.479163,-0.361671,2.26314,0.961072,0.275502,0.0209538,-0.275577,0.950332,0.144661,0.0199413,-0.144804,0.989259,-0.606825,-0.802035,2.33024,0,0,0,0,0,0,0,0,0,-0.161917,0.0451516,2.42097,0.736323,0.0208767,-0.676308,-0.0892096,0.993794,-0.066449,0.670723,0.109261,0.733616,-0.171978,-0.433801,2.36832,0.75149,0.0843507,-0.65433,0.0277472,0.986875,0.159087,0.659161,-0.137708,0.739286,-0.205808,-0.829599,2.42355,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.14279,0.768775,2.40559,0.984787,0.171465,-0.0280908,-0.170116,0.984399,0.0449296,0.0353565,-0.0394675,0.998595,-0.182585,0.540309,2.41475,0.984787,0.171465,-0.0280908,-0.170116,0.984399,0.0449296,0.0353565,-0.0394675,0.998595,-0.226471,0.303371,2.41606,0.982684,0.182123,-0.0340391,-0.18182,0.98326,0.0118281,0.0356236,-0.00543424,0.99935,-0.34985,0.571258,2.40869,0.887356,-0.451429,0.0938636,0.386429,0.617055,-0.685504,0.251538,0.644558,0.721993,-0.592382,0.465639,2.33994,0.420558,-0.451429,-0.786983,-0.489954,0.617055,-0.615783,0.763594,0.644558,0.0383278,-0.722279,0.616969,2.10409,0,0,0,0,0,0,0,0,0,-0.0153188,0.509361,2.42082,0.486514,0.641206,0.593429,-0.676796,0.706137,-0.208127,-0.552495,-0.300374,0.777512,0.107296,0.338791,2.28157,-0.690948,0.641206,0.333833,0.360993,0.706137,-0.609142,-0.626318,-0.300374,-0.719375,-0.108497,0.451533,2.08597,0,0,0,0,0,0,0,0,0,-0.379644,0.0866521,2.41341,0.974543,0.210405,-0.0774286,-0.223986,0.928761,-0.295351,0.00976946,0.305176,0.952246,-0.481043,-0.360944,2.26634,0.962362,0.271013,0.0202841,-0.271239,0.953128,0.134075,0.0170027,-0.13453,0.990764,-0.606621,-0.802589,2.32867,0,0,0,0,0,0,0,0,0,-0.161072,0.0462112,2.42133,0.73585,0.0263272,-0.676632,-0.0973645,0.992974,-0.0672499,0.670108,0.115366,0.733244,-0.17376,-0.432332,2.36574,0.752997,0.080997,-0.65302,0.0328588,0.986529,0.160253,0.657204,-0.142127,0.740192,-0.20627,-0.82829,2.42278,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.140697,0.769087,2.40664,0.984704,0.168558,-0.0440538,-0.166662,0.985045,0.0436946,0.0507603,-0.0356843,0.998073,-0.179707,0.541117,2.4149,0.984704,0.168558,-0.0440538,-0.166662,0.985045,0.0436946,0.0507603,-0.0356843,0.998073,-0.222756,0.304023,2.41551,0.982654,0.17865,-0.0497162,-0.178292,0.983909,0.011584,0.0509859,-0.00251904,0.998696,-0.346949,0.571461,2.40623,0.890666,-0.441812,0.107314,0.387644,0.614588,-0.687033,0.237585,0.653516,0.718658,-0.589687,0.465814,2.34147,0.432335,-0.441812,-0.786059,-0.492431,0.614588,-0.616274,0.75538,0.653516,0.0481461,-0.723397,0.61811,2.10786,0,0,0,0,0,0,0,0,0,-0.0124646,0.510772,2.42358,0.481986,0.648005,0.589728,-0.677195,0.702596,-0.218553,-0.555964,-0.294021,0.777467,0.109152,0.339899,2.2833,-0.689809,0.648005,0.322882,0.377745,0.702596,-0.603048,-0.617634,-0.294021,-0.729438,-0.106587,0.45804,2.09013,0,0,0,0,0,0,0,0,0,-0.375091,0.0867584,2.41045,0.972498,0.215081,-0.0893795,-0.231941,0.929312,-0.287373,0.0212531,0.3002,0.953639,-0.478744,-0.361101,2.26577,0.963607,0.267136,0.00996225,-0.266,0.954478,0.134966,0.0265454,-0.132704,0.9908,-0.60253,-0.80339,2.32726,0,0,0,0,0,0,0,0,0,-0.15652,0.0471011,2.42179,0.725531,0.0247722,-0.687744,-0.0985826,0.992786,-0.0682393,0.681092,0.117309,0.722739,-0.168458,-0.431359,2.36525,0.74317,0.0832814,-0.6639,0.0330536,0.986443,0.160742,0.668286,-0.141403,0.730342,-0.202012,-0.828786,2.42222,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
-0.139168,0.767419,2.40566,0.985286,0.168261,-0.0299051,-0.166883,0.985003,0.0438143,0.036829,-0.038179,0.998592,-0.178132,0.539325,2.4145,0.985286,0.168261,-0.0299051,-0.166883,0.985003,0.0438143,0.036829,-0.038179,0.998592,-0.220804,0.302172,2.41635,0.983567,0.177085,-0.0351114,-0.176688,0.984165,0.0141277,0.0370574,-0.00769177,0.999283,-0.345525,0.569396,2.40819,0.888226,-0.446874,0.106578,0.385675,0.599276,-0.701515,0.24962,0.664208,0.70464,-0.587337,0.464399,2.34024,0.437547,-0.446874,-0.780292,-0.501186,0.599276,-0.624245,0.746569,0.664208,0.0382446,-0.722569,0.619299,2.1095,0,0,0,0,0,0,0,0,0,-0.0107388,0.509255,2.42081,0.485617,0.656478,0.577245,-0.678854,0.699235,-0.224115,-0.550756,-0.283031,0.785214,0.111085,0.338954,2.28264,-0.682154,0.656478,0.322029,0.39011,0.699235,-0.59907,-0.61845,-0.283031,-0.733084,-0.10199,0.460808,2.08946,0,0,0,0,0,0,0,0,0,-0.372851,0.0846676,2.41409,0.972803,0.219937,-0.0726784,-0.23152,0.93308,-0.275247,0.00727771,0.284587,0.958623,-0.478832,-0.364955,2.27695,0.961958,0.272369,0.0212505,-0.272879,0.954186,0.122745,0.0131549,-0.123874,0.992211,-0.60504,-0.807098,2.33435,0,0,0,0,0,0,0,0,0,-0.1541,0.045371,2.42233,0.735371,0.0261439,-0.67716,-0.103441,0.991876,-0.0740384,0.669723,0.124492,0.732102,-0.1667,-0.432643,2.36233,0.75403,0.0929637,-0.650228,0.0260431,0.984924,0.171016,0.656324,-0.145885,0.740241,-0.204353,-0.831567,2.42142,0,0,0,0,0,0,0,0,0,0,-0.964938,0.349188,0.00512439,0.999986,-0.000976459
