Virtual Sensei Lite, (C) Alessandro Timmi, www.virtualsensei.it,
Tracking module version,1.1,
Athlete's name,Alessandro Timmi,
Technique name,punch,
Athlete's weight [kg],75.0,
Athlete's height [cm],186.0,
Athlete's gender,m,
Start mocap data,
Head(X),Head(Y),Head(Z),Head(R11),Head(R12),Head(R13),Head(R21),Head(R22),Head(R23),Head(R31),Head(R32),Head(R33),Neck(X),Neck(Y),Neck(Z),Neck(R11),Neck(R12),Neck(R13),Neck(R21),Neck(R22),Neck(R23),Neck(R31),Neck(R32),Neck(R33),Torso(X),Torso(Y),Torso(Z),Torso(R11),Torso(R12),Torso(R13),Torso(R21),Torso(R22),Torso(R23),Torso(R31),Torso(R32),Torso(R33),L_Shoulder(X),L_Shoulder(Y),L_Shoulder(Z),L_Shoulder(R11),L_Shoulder(R12),L_Shoulder(R13),L_Shoulder(R21),L_Shoulder(R22),L_Shoulder(R23),L_Shoulder(R31),L_Shoulder(R32),L_Shoulder(R33),L_Elbow(X),L_Elbow(Y),L_Elbow(Z),L_Elbow(R11),L_Elbow(R12),L_Elbow(R13),L_Elbow(R21),L_Elbow(R22),L_Elbow(R23),L_Elbow(R31),L_Elbow(R32),L_Elbow(R33),L_Hand(X),L_Hand(Y),L_Hand(Z),L_Hand(R11),L_Hand(R12),L_Hand(R13),L_Hand(R21),L_Hand(R22),L_Hand(R23),L_Hand(R31),L_Hand(R32),L_Hand(R33),R_Shoulder(X),R_Shoulder(Y),R_Shoulder(Z),R_Shoulder(R11),R_Shoulder(R12),R_Shoulder(R13),R_Shoulder(R21),R_Shoulder(R22),R_Shoulder(R23),R_Shoulder(R31),R_Shoulder(R32),R_Shoulder(R33),R_Elbow(X),R_Elbow(Y),R_Elbow(Z),R_Elbow(R11),R_Elbow(R12),R_Elbow(R13),R_Elbow(R21),R_Elbow(R22),R_Elbow(R23),R_Elbow(R31),R_Elbow(R32),R_Elbow(R33),R_Hand(X),R_Hand(Y),R_Hand(Z),R_Hand(R11),R_Hand(R12),R_Hand(R13),R_Hand(R21),R_Hand(R22),R_Hand(R23),R_Hand(R31),R_Hand(R32),R_Hand(R33),L_Hip(X),L_Hip(Y),L_Hip(Z),L_Hip(R11),L_Hip(R12),L_Hip(R13),L_Hip(R21),L_Hip(R22),L_Hip(R23),L_Hip(R31),L_Hip(R32),L_Hip(R33),L_Knee(X),L_Knee(Y),L_Knee(Z),L_Knee(R11),L_Knee(R12),L_Knee(R13),L_Knee(R21),L_Knee(R22),L_Knee(R23),L_Knee(R31),L_Knee(R32),L_Knee(R33),L_Foot(X),L_Foot(Y),L_Foot(Z),L_Foot(R11),L_Foot(R12),L_Foot(R13),L_Foot(R21),L_Foot(R22),L_Foot(R23),L_Foot(R31),L_Foot(R32),L_Foot(R33),R_Hip(X),R_Hip(Y),R_Hip(Z),R_Hip(R11),R_Hip(R12),R_Hip(R13),R_Hip(R21),R_Hip(R22),R_Hip(R23),R_Hip(R31),R_Hip(R32),R_Hip(R33),R_Knee(X),R_Knee(Y),R_Knee(Z),R_Knee(R11),R_Knee(R12),R_Knee(R13),R_Knee(R21),R_Knee(R22),R_Knee(R23),R_Knee(R31),R_Knee(R32),R_Knee(R33),R_Foot(X),R_Foot(Y),R_Foot(Z),R_Foot(R11),R_Foot(R12),R_Foot(R13),R_Foot(R21),R_Foot(R22),R_Foot(R23),R_Foot(R31),R_Foot(R32),R_Foot(R33),Floor_Pt(X),Floor_Pt(Y),Floor_Pt(Z),Floor_Normal(X),Floor_Normal(Y),Floor_Normal(Z)
-0.230365,0.779524,2.3016,0.99532,0.0393005,-0.0882696,-0.0241973,0.985817,0.166067,0.0935447,-0.163154,0.982155,-0.239657,0.546448,2.34018,0.99532,0.0393005,-0.0882696,-0.0241973,0.985817,0.166067,0.0935447,-0.163154,0.982155,-0.248693,0.305434,2.36457,0.995181,0.0372755,-0.0906826,-0.0277924,0.994222,0.103673,0.0940237,-0.100653,0.990468,-0.412973,0.551288,2.3238,0.525063,-0.834907,-0.165041,0.848717,0.499284,0.174342,-0.0631566,-0.231614,0.970756,-0.58321,0.276115,2.34428,0.363203,-0.834907,-0.413538,0.815979,0.499284,-0.291364,0.449735,-0.231614,0.862609,-0.70781,-0.00381281,2.18999,0,0,0,0,0,0,0,0,0,-0.0663413,0.541608,2.35655,0.458544,0.880693,-0.118816,-0.869465,0.472252,0.14494,0.183759,0.0368453,0.98228,0.0774863,0.26889,2.41419,0.451177,0.880693,0.144289,-0.812605,0.472252,-0.341541,-0.368934,0.0368453,0.928725,0.230362,-0.00645038,2.28918,0,0,0,0,0,0,0,0,0,-0.369072,0.0675293,2.37846,0.98616,0.104249,-0.128924,-0.104956,0.994476,0.00131696,0.128349,0.0122326,0.991654,-0.419614,-0.414617,2.37252,0.983872,0.139519,-0.111938,-0.122636,0.9817,0.14569,0.130216,-0.129612,0.982977,-0.484652,-0.872241,2.43294,0,0,0,0,0,0,0,0,0,-0.146387,0.0613104,2.39949,0.987978,-0.0259942,0.152393,0.027283,0.999608,-0.00637187,-0.152168,0.010453,0.988299,-0.133785,-0.423323,2.39443,0.976697,-0.154215,0.14927,0.141928,0.985796,0.0897917,-0.160997,-0.0665136,0.984711,-0.0618974,-0.882853,2.42543,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.229405,0.780252,2.30141,0.992778,0.0372838,-0.114013,-0.0175738,0.985421,0.169218,0.118661,-0.165992,0.978961,-0.238238,0.546793,2.34074,0.992778,0.0372838,-0.114013,-0.0175738,0.985421,0.169218,0.118661,-0.165992,0.978961,-0.24744,0.305845,2.36572,0.992478,0.037957,-0.116385,-0.0254867,0.993951,0.106819,0.119736,-0.103049,0.987442,-0.411027,0.55123,2.31989,0.577203,-0.806428,-0.128494,0.815116,0.559492,0.150183,-0.0492202,-0.191423,0.980273,-0.595612,0.290563,2.33563,0.433102,-0.806428,-0.402612,0.779242,0.559492,-0.282402,0.452995,-0.191423,0.87072,-0.743211,0.0250002,2.18125,0,0,0,0,0,0,0,0,0,-0.0654498,0.542356,2.36158,0.527414,0.842618,-0.108767,-0.839458,0.536555,0.0861329,0.130937,0.0458781,0.990329,0.0997348,0.27944,2.40259,0.5214,0.837126,0.165416,-0.767057,0.544735,-0.33895,-0.373852,0.0498452,0.926148,0.275444,0.0209447,2.27661,0,0,0,0,0,0,0,0,0,-0.367681,0.067748,2.3773,0.982209,0.108385,-0.153355,-0.107398,0.994107,0.0147329,0.154049,0.00199926,0.988061,-0.420226,-0.414194,2.37633,0.981487,0.130874,-0.139837,-0.113421,0.985493,0.126249,0.154331,-0.108052,0.982093,-0.481219,-0.873474,2.42669,0,0,0,0,0,0,0,0,0,-0.145601,0.062045,2.4041,0.991563,-0.0262193,0.126944,0.0271013,0.999619,-0.00522575,-0.126758,0.00862199,0.991896,-0.132889,-0.422597,2.39992,0.980844,-0.150062,0.124206,0.140316,0.98655,0.0838526,-0.135119,-0.0648182,0.988707,-0.0629359,-0.88249,2.43013,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.229642,0.782359,2.30933,0.991959,0.0323886,-0.122335,-0.0136434,0.98843,0.15106,0.125812,-0.148176,0.980925,-0.237296,0.548792,2.34434,0.991959,0.0323886,-0.122335,-0.0136434,0.98843,0.15106,0.125812,-0.148176,0.980925,-0.245826,0.30754,2.36625,0.991623,0.0351945,-0.124276,-0.0235331,0.995285,0.0940839,0.127002,-0.0903712,0.987776,-0.40996,0.55289,2.32223,0.63298,-0.761176,-0.141238,0.77411,0.620062,0.127581,-0.00953549,-0.190089,0.98172,-0.615295,0.301773,2.32532,0.475217,-0.761176,-0.441339,0.732708,0.620062,-0.280468,0.487144,-0.190089,0.852383,-0.777054,0.0523665,2.15951,0,0,0,0,0,0,0,0,0,-0.0646307,0.544694,2.36646,0.587957,0.802972,-0.0976814,-0.803342,0.593772,0.0455687,0.0945908,0.0516792,0.994174,0.120878,0.291229,2.3963,0.579326,0.790778,0.197615,-0.713114,0.609145,-0.347004,-0.394779,0.0601062,0.916808,0.316051,0.0509836,2.2633,0,0,0,0,0,0,0,0,0,-0.365266,0.0689203,2.37395,0.980967,0.111639,-0.158875,-0.109746,0.993745,0.020668,0.160189,-0.0028387,0.987082,-0.419389,-0.412854,2.37533,0.980732,0.129866,-0.145945,-0.111989,0.985856,0.124687,0.160073,-0.105941,0.981404,-0.479921,-0.872373,2.42471,0,0,0,0,0,0,0,0,0,-0.143449,0.0636562,2.40236,0.992546,-0.0253462,0.119203,0.0266902,0.999597,-0.00969179,-0.118909,0.0128011,0.992823,-0.131161,-0.420973,2.39615,0.982093,-0.14788,0.11673,0.139734,0.987331,0.0751746,-0.126368,-0.0575173,0.990315,-0.0622252,-0.881228,2.42297,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.230932,0.782614,2.31329,0.992169,0.0308904,-0.121018,-0.0135516,0.989837,0.141555,0.124161,-0.138806,0.982505,-0.238196,0.549862,2.34593,0.992169,0.0308904,-0.121018,-0.0135516,0.989837,0.141555,0.124161,-0.138806,0.982505,-0.246459,0.308452,2.36619,0.991845,0.034089,-0.122798,-0.0234401,0.995919,0.0871398,0.125268,-0.0835508,0.988598,-0.410917,0.553944,2.32412,0.681884,-0.715896,-0.150089,0.731094,0.673534,0.108874,0.0231473,-0.183969,0.98266,-0.630151,0.318888,2.31668,0.526518,-0.714922,-0.460071,0.691851,0.674813,-0.256844,0.494085,-0.183067,0.849921,-0.810344,0.0821124,2.14758,0,0,0,0,0,0,0,0,0,-0.0654751,0.54578,2.36775,0.652316,0.753491,-0.0820729,-0.754746,0.655683,0.0209387,0.0695909,0.0482855,0.996406,0.139936,0.308115,2.38966,0.629157,0.741416,0.233375,-0.663614,0.668694,-0.335356,-0.404695,0.0561208,0.912728,0.352681,0.0837171,2.25282,0,0,0,0,0,0,0,0,0,-0.365672,0.0696631,2.37243,0.980842,0.116177,-0.15637,-0.114122,0.993221,0.0220932,0.157877,-0.00382466,0.987451,-0.421996,-0.411865,2.37428,0.981654,0.127314,-0.141937,-0.108453,0.985093,0.133528,0.156821,-0.115685,0.980828,-0.48134,-0.87104,2.4282,0,0,0,0,0,0,0,0,0,-0.143773,0.064419,2.40045,0.992477,-0.0209351,0.120633,0.0222903,0.999703,-0.00989507,-0.12039,0.0125096,0.992648,-0.133623,-0.420261,2.39439,0.981956,-0.147383,0.118494,0.138959,0.987338,0.0765064,-0.12827,-0.0586601,0.990003,-0.0649176,-0.88053,2.42173,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.229853,0.782697,2.31577,0.991061,0.0328123,-0.129306,-0.0148222,0.990362,0.137705,0.132578,-0.134557,0.981996,-0.237564,0.54997,2.34739,0.991061,0.0328123,-0.129306,-0.0148222,0.990362,0.137705,0.132578,-0.134557,0.981996,-0.245999,0.308476,2.36662,0.99075,0.0347991,-0.131158,-0.0239674,0.996238,0.0832747,0.133563,-0.0793609,0.987857,-0.410097,0.554144,2.32413,0.728216,-0.66651,-0.159577,0.683799,0.722242,0.103849,0.046037,-0.184744,0.981708,-0.64407,0.334442,2.30934,0.580378,-0.656372,-0.482014,0.639993,0.733642,-0.228426,0.503558,-0.175912,0.845863,-0.842883,0.115207,2.13684,0,0,0,0,0,0,0,0,0,-0.0650304,0.545796,2.37065,0.722106,0.688896,-0.0631231,-0.690764,0.722985,-0.0117703,0.0375286,0.0521025,0.997936,0.159972,0.33056,2.38234,0.6649,0.700873,0.258232,-0.629251,0.711872,-0.3119,-0.402431,0.0448898,0.914349,0.385947,0.116701,2.24557,0,0,0,0,0,0,0,0,0,-0.365272,0.0696642,2.37092,0.979889,0.11336,-0.164214,-0.111149,0.993546,0.0226204,0.165718,-0.00391323,0.986165,-0.420232,-0.412028,2.37282,0.98022,0.130077,-0.14916,-0.109166,0.984012,0.140721,0.16508,-0.121654,0.978749,-0.480866,-0.87072,2.42953,0,0,0,0,0,0,0,0,0,-0.143597,0.0643016,2.4008,0.993529,-0.0183797,0.112081,0.0192008,0.999796,-0.00625064,-0.111943,0.00836224,0.993679,-0.134686,-0.420422,2.39675,0.981937,-0.153758,0.110269,0.145721,0.986276,0.0776275,-0.120691,-0.0601569,0.990866,-0.0630086,-0.880192,2.42479,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.230783,0.782764,2.3175,0.992629,0.0333386,-0.116514,-0.0173095,0.990562,0.135965,0.119947,-0.132946,0.983838,-0.238612,0.550141,2.34872,0.992629,0.0333386,-0.116514,-0.0173095,0.990562,0.135965,0.119947,-0.132946,0.983838,-0.247033,0.308566,2.36696,0.992349,0.0347359,-0.11847,-0.0254701,0.996561,0.0788462,0.120802,-0.0752255,0.989821,-0.411417,0.554576,2.32769,0.771553,-0.614371,-0.165092,0.631622,0.770758,0.0835827,0.0758949,-0.168764,0.98273,-0.655542,0.354726,2.30367,0.623749,-0.601585,-0.499032,0.584084,0.783012,-0.213867,0.519407,-0.158077,0.839779,-0.869346,0.154518,2.12564,0,0,0,0,0,0,0,0,0,-0.0658076,0.545705,2.36976,0.777529,0.627212,-0.0453279,-0.628455,0.777568,-0.0207739,0.0222159,0.0446389,0.998756,0.17598,0.350275,2.37667,0.716408,0.632674,0.294079,-0.564107,0.773307,-0.289448,-0.41054,0.0414708,0.910899,0.417858,0.159818,2.23806,0,0,0,0,0,0,0,0,0,-0.366472,0.0698401,2.37168,0.98185,0.11584,-0.150174,-0.112501,0.993181,0.0305731,0.152692,-0.0131234,0.988187,-0.422631,-0.411659,2.37804,0.982135,0.128405,-0.137563,-0.110718,0.985402,0.129325,0.152161,-0.111784,0.982014,-0.482486,-0.870994,2.43015,0,0,0,0,0,0,0,0,0,-0.144434,0.0641412,2.39871,0.992013,-0.0189675,0.124704,0.0202675,0.999753,-0.0091635,-0.1245,0.0116177,0.992152,-0.135238,-0.420563,2.39308,0.980528,-0.153471,0.122525,0.143974,0.986097,0.0829699,-0.133555,-0.0637138,0.988991,-0.0636945,-0.880256,2.42278,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.229705,0.783044,2.31736,0.991792,0.0349514,-0.122984,-0.0175132,0.98998,0.14011,0.12665,-0.136806,0.982467,-0.237933,0.549981,2.34957,0.991792,0.0349514,-0.122984,-0.0175132,0.98998,0.14011,0.12665,-0.136806,0.982467,-0.246454,0.308457,2.36846,0.991527,0.0351506,-0.125044,-0.0250124,0.996339,0.0817402,0.12746,-0.07792,0.988777,-0.410602,0.554337,2.32737,0.82018,-0.544943,-0.17419,0.563814,0.821566,0.0845186,0.0970506,-0.167531,0.981078,-0.668771,0.376864,2.29682,0.674961,-0.521862,-0.52162,0.513574,0.839863,-0.175702,0.529782,-0.149298,0.83489,-0.900356,0.200652,2.11505,0,0,0,0,0,0,0,0,0,-0.0652641,0.545625,2.37177,0.82756,0.56085,-0.0243212,-0.561375,0.826673,-0.0383291,-0.00139117,0.0453729,0.998969,0.190487,0.372136,2.37134,0.754332,0.56572,0.333082,-0.495984,0.823499,-0.275407,-0.430096,0.0425446,0.90178,0.444385,0.205195,2.22657,0,0,0,0,0,0,0,0,0,-0.365897,0.069731,2.37309,0.981157,0.112375,-0.157169,-0.109048,0.993594,0.0296593,0.159495,-0.0119614,0.987126,-0.420378,-0.411978,2.37889,0.981171,0.126722,-0.145759,-0.109308,0.986509,0.121865,0.159235,-0.103638,0.981786,-0.479449,-0.871836,2.4272,0,0,0,0,0,0,0,0,0,-0.144052,0.0641348,2.40161,0.992794,-0.0204148,0.118082,0.0210941,0.999767,-0.00450547,-0.117962,0.00696383,0.992994,-0.134155,-0.420575,2.39823,0.98106,-0.155159,0.115958,0.146325,0.985897,0.0812101,-0.126923,-0.0627045,0.989929,-0.0618232,-0.880179,2.42746,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.229619,0.783752,2.3173,0.992914,0.0357077,-0.113336,-0.019422,0.989723,0.141668,0.11723,-0.138463,0.983404,-0.238021,0.55086,2.34988,0.992914,0.0357077,-0.113336,-0.019422,0.989723,0.141668,0.11723,-0.138463,0.983404,-0.246579,0.309399,2.36955,0.992694,0.0353055,-0.115372,-0.0255789,0.996075,0.0847225,0.117911,-0.0811525,0.989702,-0.410892,0.555314,2.32934,0.863774,-0.470472,-0.18042,0.489335,0.868633,0.077637,0.120192,-0.155346,0.980521,-0.679883,0.402929,2.29192,0.702697,-0.464165,-0.539228,0.466363,0.872858,-0.14361,0.537329,-0.150561,0.829825,-0.921546,0.242543,2.10712,0,0,0,0,0,0,0,0,0,-0.0651495,0.546406,2.37041,0.879791,0.47536,0.000528756,-0.474865,0.878925,-0.0446435,-0.0216865,0.0390259,0.999003,0.208748,0.39857,2.36366,0.772463,0.505659,0.384202,-0.441619,0.862471,-0.247218,-0.456371,0.0212959,0.889535,0.469244,0.249644,2.20976,0,0,0,0,0,0,0,0,0,-0.366195,0.0707995,2.37603,0.982254,0.115014,-0.14815,-0.112157,0.993309,0.0275202,0.150324,-0.0104158,0.988582,-0.421956,-0.410778,2.38108,0.982878,0.122726,-0.13744,-0.107566,0.987779,0.112789,0.149603,-0.0960734,0.984067,-0.479165,-0.871229,2.42587,0,0,0,0,0,0,0,0,0,-0.144081,0.0650762,2.40241,0.991573,-0.020722,0.127878,0.0222348,0.999698,-0.0104133,-0.127624,0.0131689,0.991735,-0.134034,-0.419595,2.39603,0.98031,-0.152584,0.125342,0.142456,0.986041,0.0861906,-0.136744,-0.0666378,0.988363,-0.0629031,-0.879265,2.42709,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.227861,0.786129,2.32427,0.993324,0.0395595,-0.108354,-0.0259841,0.991948,0.123946,0.112385,-0.120303,0.986354,-0.237134,0.553605,2.35247,0.993324,0.0395595,-0.108354,-0.0259841,0.991948,0.123946,0.112385,-0.120303,0.986354,-0.246892,0.311983,2.36915,0.99307,0.0402576,-0.110404,-0.0323074,0.996817,0.0728742,0.112987,-0.0688024,0.991211,-0.410072,0.559231,2.3328,0.892391,-0.41304,-0.181758,0.429743,0.900749,0.0630165,0.13769,-0.134345,0.981322,-0.690947,0.423972,2.28946,0.728412,-0.391841,-0.56203,0.385922,0.912454,-0.135983,0.56611,-0.117848,0.815862,-0.941494,0.291229,2.09474,0,0,0,0,0,0,0,0,0,-0.0641951,0.547978,2.37215,0.910484,0.413299,0.0142334,-0.411746,0.909195,-0.0618887,-0.0385195,0.0504882,0.997982,0.214867,0.421779,2.36034,0.80242,0.429125,0.414697,-0.359952,0.902311,-0.237214,-0.47598,0.0410746,0.878497,0.485108,0.300554,2.20004,0,0,0,0,0,0,0,0,0,-0.367749,0.0739765,2.37319,0.983256,0.112547,-0.143321,-0.111212,0.993646,0.0173228,0.14436,-0.00109379,0.989525,-0.422313,-0.407747,2.37372,0.983287,0.127033,-0.13042,-0.111334,0.986347,0.121344,0.144054,-0.104796,0.984005,-0.481528,-0.867527,2.42257,0,0,0,0,0,0,0,0,0,-0.145551,0.0667478,2.39847,0.991006,-0.0212441,0.132117,0.022939,0.999673,-0.01132,-0.131833,0.0142489,0.99117,-0.135251,-0.417918,2.39156,0.980367,-0.148835,0.129341,0.137841,0.986338,0.0902031,-0.140999,-0.0706037,0.987489,-0.0658682,-0.877723,2.42447,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
-0.227338,0.784694,2.32776,0.993354,0.0404643,-0.107741,-0.0282312,0.993223,0.112734,0.111573,-0.108944,0.987766,-0.23681,0.552183,2.35327,0.993354,0.0404643,-0.107741,-0.0282312,0.993223,0.112734,0.111573,-0.108944,0.987766,-0.247283,0.310474,2.3682,0.993024,0.0432045,-0.109705,-0.0360905,0.997165,0.0660219,0.112247,-0.0616021,0.991768,-0.409746,0.558469,2.33372,0.92506,-0.332614,-0.183391,0.347552,0.936018,0.0554722,0.153206,-0.115053,0.981474,-0.70247,0.44849,2.28524,0.749633,-0.312848,-0.583247,0.309981,0.944561,-0.108243,0.584776,-0.0996528,0.805051,-0.961276,0.341471,2.08335,0,0,0,0,0,0,0,0,0,-0.0638743,0.545898,2.37281,0.944733,0.326041,0.034307,-0.322764,0.943341,-0.0770187,-0.0574744,0.061689,0.996439,0.225936,0.446886,2.35518,0.817592,0.365385,0.445012,-0.301001,0.930069,-0.21064,-0.490857,0.0382684,0.870399,0.499347,0.346228,2.19104,0,0,0,0,0,0,0,0,0,-0.368851,0.0728014,2.37057,0.983839,0.110053,-0.141241,-0.107699,0.993888,0.0242259,0.143044,-0.00862293,0.989679,-0.422204,-0.409038,2.37475,0.983546,0.125816,-0.129648,-0.110359,0.986594,0.120221,0.143035,-0.103935,0.984245,-0.480855,-0.868953,2.4232,0,0,0,0,0,0,0,0,0,-0.146661,0.0647262,2.39569,0.990954,-0.023334,0.132155,0.0234492,0.999725,0.000684333,-0.132135,0.00242079,0.991229,-0.135348,-0.419934,2.39451,0.979761,-0.152356,0.129834,0.142375,0.986325,0.0830181,-0.140707,-0.0628527,0.988054,-0.064326,-0.879721,2.42381,0,0,0,0,0,0,0,0,0,0,-0.963092,0.349188,0.00269606,0.999994,-0.00192758
